LOGGER started at 2020-01-29 13:44:35.110463.
Currently active debug channels:
	act
	batch_info
	linesearch
	learning
[2020-01-29 13:44:35.499416][__main__.TRPOAgent.log][learning]: Episode #0

[2020-01-29 13:44:35.693767][__main__.TRPOAgent.log][learning]: Performing rollouts: rollout length: 1500

[2020-01-29 13:44:36.590132][__main__.TRPOAgent.log][learning]: Rollouts performed

[2020-01-29 13:44:36.591138][__main__.TRPOAgent.log][batch_info]: Rollout statistics size: 964, Batch size: 100, Number of batches: 100

[2020-01-29 13:44:36.591485][__main__.TRPOAgent.log][learning]: 

***************
BEGINNING TRAINING
***************



[2020-01-29 13:44:36.591785][__main__.TRPOAgent.log][batch_info]: Batch #0, batch length: 9

[2020-01-29 13:44:36.937063][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 4.353232448920608

[2020-01-29 13:44:36.941728][__main__.TRPOAgent.log][batch_info]: Batch #1, batch length: 9

[2020-01-29 13:44:37.041369][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 1.2930232431584348

[2020-01-29 13:44:37.045866][__main__.TRPOAgent.log][batch_info]: Batch #2, batch length: 10

[2020-01-29 13:44:37.143671][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 1.726356340944767

[2020-01-29 13:44:37.150154][__main__.TRPOAgent.log][batch_info]: Batch #3, batch length: 9

[2020-01-29 13:44:37.252773][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 0.5388465013044575

[2020-01-29 13:44:37.257695][__main__.TRPOAgent.log][batch_info]: Batch #4, batch length: 12

[2020-01-29 13:44:37.353814][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 1.218246357049793

[2020-01-29 13:44:37.358926][__main__.TRPOAgent.log][batch_info]: Batch #5, batch length: 10

[2020-01-29 13:44:37.458972][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 0.7337397522700485

[2020-01-29 13:44:37.463666][__main__.TRPOAgent.log][batch_info]: Batch #6, batch length: 10

[2020-01-29 13:44:37.561736][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 0.5578599572181702

[2020-01-29 13:44:37.566693][__main__.TRPOAgent.log][batch_info]: Batch #7, batch length: 10

[2020-01-29 13:44:37.664921][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 13.097964638471604

[2020-01-29 13:44:37.669736][__main__.TRPOAgent.log][batch_info]: Batch #8, batch length: 9

[2020-01-29 13:44:37.768226][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 10.455575310521656

[2020-01-29 13:44:37.773142][__main__.TRPOAgent.log][batch_info]: Batch #9, batch length: 9

[2020-01-29 13:44:37.874487][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 1.2167729528413878

[2020-01-29 13:44:37.879486][__main__.TRPOAgent.log][batch_info]: Batch #10, batch length: 9

[2020-01-29 13:44:37.977515][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 3.3070096174875894

[2020-01-29 13:44:37.982528][__main__.TRPOAgent.log][batch_info]: Batch #11, batch length: 9

[2020-01-29 13:44:38.080831][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 0.628361903441449

[2020-01-29 13:44:38.085314][__main__.TRPOAgent.log][batch_info]: Batch #12, batch length: 11

[2020-01-29 13:44:38.191611][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 1.052507025480736

[2020-01-29 13:44:38.196205][__main__.TRPOAgent.log][batch_info]: Batch #13, batch length: 9

[2020-01-29 13:44:38.292028][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 0.829670720770082

[2020-01-29 13:44:38.296837][__main__.TRPOAgent.log][batch_info]: Batch #14, batch length: 10

[2020-01-29 13:44:38.397313][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 2.2078756362199785

[2020-01-29 13:44:38.402345][__main__.TRPOAgent.log][batch_info]: Batch #15, batch length: 14

[2020-01-29 13:44:38.501493][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 5.326266147728477

[2020-01-29 13:44:38.506319][__main__.TRPOAgent.log][batch_info]: Batch #16, batch length: 9

[2020-01-29 13:44:38.609463][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 1.618634670972824

[2020-01-29 13:44:38.614317][__main__.TRPOAgent.log][batch_info]: Batch #17, batch length: 9

[2020-01-29 13:44:38.711631][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 2.52076679137018

[2020-01-29 13:44:38.716687][__main__.TRPOAgent.log][batch_info]: Batch #18, batch length: 9

[2020-01-29 13:44:38.814978][__main__.TRPOAgent.log][batch_info]: Current batch value loss: 0.16036613535137198

[2020-01-29 13:44:38.821408][__main__.TRPOAgent.log][batch_info]: Batch #19, batch length: 9

